maja, maja, maja (maja on suur)	дом (дом большой)
auto, auto, autot (auto on pargitud tänavale)	машина (машина припаркована на улице)
raamat, raamatu, raamatut (ma loen raamatut)	книга (я читаю книгу)
kool, kooli, kooli (lapsed lähevad kooli)	школа (дети идут в школу)
õpetaja, õpetaja, õpetajat (õpetaja on klassis)	учитель (учитель в классе)
õpilane, õpilase, õpilast (õpilane teeb kodutööd)	ученик (ученик делает домашнее задание)
pood, poe, poodi (ma lähen poodi)	магазин (я иду в магазин)
leib, leiva, leiba (ma ostan leiba)	хлеб (я покупаю хлеб)
piim, piima, piima (ma joon piima)	молоко (я пью молоко)
kohv, kohvi, kohvi (ma joon kohvi)	кофе (я пью кофе)
tee, tee, teed (ma joon teed)	чай (я пью чай)
õun, õuna, õuna (ma söön õuna)	яблоко (я ем яблоко)
vesi, vee, vett (ma joon vett)	вода (я пью воду)
puu, puu, puud (puu on kõrge)	дерево (дерево высокое)
aed, aia, aeda (aed on ilus)	сад (сад красивый)
taim, taime, taime (taim vajab vett)	растение (растению нужна вода)
lill, lille, lille (lill on aias)	цветок (цветок в саду)
kass, kassi, kassi (kass on toas)	кошка (кошка в комнате)
koer, koera, koera (koer on õues)	собака (собака на улице)
lind, linnu, lindu (lind laulab puu otsas)	птица (птица поет на дереве)
mets, metsa, metsa (ma jalutan metsas)	лес (я гуляю в лесу)
järv, järve, järve (järv on sügav)	озеро (озеро глубокое)
meri, mere, merd (meri on rahulik)	море (море спокойное)
tänav, tänava, tänavat (tänav on vaikne)	улица (улица тихая)
küla, küla, küla (küla on väike)	деревня (деревня маленькая)
linn, linna, linna (linn on suur)	город (город большой)
riik, riigi, riiki (eesti on ilus riik)	страна (эстония красивая страна)
maailm, maailma, maailma (maailm on suur)	мир (мир большой)
päev, päeva, päeva (täna on ilus päev)	день (сегодня прекрасный день)
öö, öö, ööd (öö on pime)	ночь (ночь темная)
hommik, hommiku, hommikut (hommik on jahe)	утро (утро прохладное)
õhtu, õhtu, õhtut (õhtu on rahulik)	вечер (вечер спокойный)
nädal, nädala, nädalat (nädal on möödunud)	неделя (неделя прошла)
kuu, kuu, kuud (kuu on taevas)	месяц (луна на небе)
aasta, aasta, aastat (aasta on möödunud)	год (год прошел)
sõber, sõbra, sõpra (sõber aitab mind)	друг (друг помогает мне)
inimene, inimese, inimest (inimene on tark)	человек (человек умный)
laps, lapse, last (laps mängib pargis)	ребенок (ребенок играет в парке)
naine, naise, naist (naine räägib telefoniga)	женщина (женщина разговаривает по телефону)
mees, mehe, meest (mees loeb ajalehte)	мужчина (мужчина читает газету)
tüdruk, tüdruku, tüdrukut (tüdruk joonistab pilti)	девочка (девочка рисует картину)
poiss, poisi, poissi (poiss mängib palliga)	мальчик (мальчик играет с мячом)
ema, ema, ema (ema valmistab süüa)	мать (мать готовит еду)
isa, isa, isa (isa töötab kontoris)	отец (отец работает в офисе)
vend, venna, venda (vend mängib jalgpalli)	брат (брат играет в футбол)
õde, õe, õde (õde õpib koolis)	сестра (сестра учится в школе)
vanaema, vanaema, vanaema (vanaema küpsetab kooki)	бабушка (бабушка печет пирог)
vanaisa, vanaisa, vanaisa (vanaisa räägib lugusid)	дедушка (дедушка рассказывает истории)
päike, päikese, päikest (päike paistab)	солнце (солнце светит)
täht, tähe, tähte (täht särab taevas)	звезда (звезда сияет на небе)
ilm, ilma, ilma (ilm on ilus)	погода (погода хорошая)
vihm, vihma, vihma (vihm sajab)	дождь (идет дождь)
lumi, lume, lund (lumi katab maad)	снег (снег покрывает землю)
tuul, tuule, tuult (tuul puhub tugevasti)	ветер (ветер дует сильно)
pilv, pilve, pilve (pilv liigub aeglaselt)	облако (облако движется медленно)
rõõm, rõõmu, rõõmu (mul on suur rõõm)	радость (у меня большая радость)
kurbus, kurbuse, kurvust (kurbus on südames)	грусть (грусть в сердце)
armastus, armastuse, armastust (armastus on oluline)	любовь (любовь важна)
raha, raha, raha (mul on vähe raha)	деньги (у меня мало денег)
töö, töö, tööd (töö on raske)	работа (работа трудная)
mäng, mängu, mängu (mäng on lõbus)	игра (игра веселая)
film, filmi, filmi (film on huvitav)	фильм (фильм интересный)
raadio, raadio, raadiot (raadio mängib muusikat)	радио (радио играет музыку)
teler, teleri, telerit (teler näitab uudiseid)	телевизор (телевизор показывает новости)
pilt, pildi, pilti (pilt on ilus)	картина (картина красивая)
muusika, muusika, muusikat (muusika on rahustav)	музыка (музыка успокаивающая)
laul, laulu, laulu (laul on ilus)	песня (песня красивая)
tants, tantsu, tantsu (tants on energiline)	танец (танец энергичный)
sport, spordi, sporti (sport on tervislik)	спорт (спорт полезен для здоровья)
jalgpall, jalgpalli, jalgpalli (jalgpall on populaarne)	футбол (футбол популярен)
kõndimine, kõndimise, kõndimist (kõndimine on tervislik)	ходьба (ходьба полезна)
jooks, jooksu, jooksu (jooks on kiire)	бег (бег быстрый)
sõit, sõidu, sõitu (sõit oli pikk)	поездка (поездка была длинной)
rong, rongi, rongi (rong on täis)	поезд (поезд полный)
lennuk, lennuki, lennukit (lennuk tõuseb õhku)	самолет (самолет взлетает)
buss, bussi, bussi (buss on pikk)	автобус (автобус длинный)
tee, tee, teed (tee on pikk)	дорога (дорога длинная)
sild, silla, silda (sild on vana)	мост (мост старый)
maantee, maantee, maanteed (maantee on sirge)	шоссе (шоссе прямое)
ratas, ratta, ratast (ratas on kiire)	велосипед (велосипед быстрый)
laev, laeva, laeva (laev on suur)	корабль (корабль большой)
kalender, kalendri, kalendrit (kalender on seinal)	календарь (календарь на стене)
raamat, raamatu, raamatut (raamat on paks)	книга (книга толстая)
ajakiri, ajakirja, ajakirja (ajakiri on huvitav)	журнал (журнал интересный)
õpik, õpiku, õpikut (õpik on uus)	учебник (учебник новый)
ajakava, ajakava, ajakava (ajakava on täpne)	расписание (расписание точное)
klaviatuur, klaviatuuri, klaviatuuri (klaviatuur on must)	клавиатура (клавиатура черная)
hiir, hiire, hiirt (hiir on väike)	мышь (мышь маленькая)
monitor, monitori, monitori (monitor on suur)	монитор (монитор большой)
kaamera, kaamera, kaamerat (kaamera on kallis)	камера (камера дорогая)
telefon, telefoni, telefoni (telefon on mobiilne)	телефон (телефон мобильный)
arvuti, arvuti, arvutit (arvuti on uus)	компьютер (компьютер новый)
printer, printeri, printerit (printer on kiire)	принтер (принтер быстрый)
kell, kella, kella (kell on täpne)	часы (часы точные)
aeg, aja, aega (aeg on kulunud)	время (время прошло)
päev, päeva, päeva (päev on päikseline)	день (день солнечный)
